qc_section	project_id	project_code	metric	value
per_project	TCGA-THYM	THYM	median_fraction_genome_altered	NA
per_project	TCGA-THYM	THYM	missingness_purity	0.138211382113821
per_project	TCGA-THYM	THYM	missingness_ploidy	0.138211382113821
per_project	TCGA-THYM	THYM	missingness_aneuploidy_score	0.138211382113821
per_project	TCGA-THYM	THYM	missingness_fraction_genome_altered	1
per_project	TCGA-THYM	THYM	missingness_arm_gain_count	0.138211382113821
per_project	TCGA-THYM	THYM	missingness_arm_loss_count	0.138211382113821
per_project	TCGA-THYM	THYM	missingness_total_arm_alteration_count	0.138211382113821
per_project	TCGA-UCEC	UCEC	n_samples	531
per_project	TCGA-UCEC	UCEC	median_purity	0.76
per_project	TCGA-UCEC	UCEC	median_ploidy	2.04
per_project	TCGA-UCEC	UCEC	median_aneuploidy_score	3
per_project	TCGA-UCEC	UCEC	median_fraction_genome_altered	NA
per_project	TCGA-UCEC	UCEC	missingness_purity	0.0903954802259887
per_project	TCGA-UCEC	UCEC	missingness_ploidy	0.0903954802259887
per_project	TCGA-UCEC	UCEC	missingness_aneuploidy_score	0.0489642184557439
per_project	TCGA-UCEC	UCEC	missingness_fraction_genome_altered	1
per_project	TCGA-UCEC	UCEC	missingness_arm_gain_count	0.0489642184557439
per_project	TCGA-UCEC	UCEC	missingness_arm_loss_count	0.0489642184557439
per_project	TCGA-UCEC	UCEC	missingness_total_arm_alteration_count	0.0489642184557439
per_project	TCGA-UCS	UCS	n_samples	57
per_project	TCGA-UCS	UCS	median_purity	0.855
per_project	TCGA-UCS	UCS	median_ploidy	3.19
per_project	TCGA-UCS	UCS	median_aneuploidy_score	19
per_project	TCGA-UCS	UCS	median_fraction_genome_altered	NA
per_project	TCGA-UCS	UCS	missingness_purity	0.0175438596491228
per_project	TCGA-UCS	UCS	missingness_ploidy	0.0175438596491228
per_project	TCGA-UCS	UCS	missingness_aneuploidy_score	0.0175438596491228
per_project	TCGA-UCS	UCS	missingness_fraction_genome_altered	1
per_project	TCGA-UCS	UCS	missingness_arm_gain_count	0.0175438596491228
per_project	TCGA-UCS	UCS	missingness_arm_loss_count	0.0175438596491228
per_project	TCGA-UCS	UCS	missingness_total_arm_alteration_count	0.0175438596491228
per_project	TCGA-UVM	UVM	n_samples	80
per_project	TCGA-UVM	UVM	median_purity	0.95
per_project	TCGA-UVM	UVM	median_ploidy	2.03
per_project	TCGA-UVM	UVM	median_aneuploidy_score	4
per_project	TCGA-UVM	UVM	median_fraction_genome_altered	NA
per_project	TCGA-UVM	UVM	missingness_purity	0
per_project	TCGA-UVM	UVM	missingness_ploidy	0
per_project	TCGA-UVM	UVM	missingness_aneuploidy_score	0
per_project	TCGA-UVM	UVM	missingness_fraction_genome_altered	1
per_project	TCGA-UVM	UVM	missingness_arm_gain_count	0
per_project	TCGA-UVM	UVM	missingness_arm_loss_count	0
per_project	TCGA-UVM	UVM	missingness_total_arm_alteration_count	0
